epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3219.61,1.40946,3.2247,1.04726,0.42696,0.50239,0.46295,0.28009,1.38787,3.21283,0.99788,0.000996313,0.000996313,0.000996313
43,3292.99,1.4009,3.25643,1.03321,0.64096,0.43397,0.48258,0.27534,1.47457,3.29092,1.00833,0.000990125,0.000990125,0.000990125
44,3363.33,1.38201,3.22236,1.05374,0.39941,0.54463,0.46573,0.29139,1.36083,3.12313,0.99359,0.000983938,0.000983938,0.000983938
45,3434.06,1.35644,3.14587,1.04724,0.40839,0.52263,0.47573,0.27522,1.49047,3.13409,1.01637,0.00097775,0.00097775,0.00097775
46,3505.94,1.41091,3.16064,1.0454,0.43824,0.55032,0.46997,0.27993,1.37742,3.17478,0.98559,0.000971562,0.000971562,0.000971562
47,3576.74,1.36515,3.15487,1.04423,0.41114,0.44088,0.43541,0.26499,1.41773,3.18578,1.00252,0.000965375,0.000965375,0.000965375
48,3647.97,1.40457,3.22157,1.04874,0.41648,0.47692,0.46503,0.26394,1.5633,3.16547,1.03372,0.000959187,0.000959187,0.000959187
49,3720.47,1.41662,3.2125,1.04538,0.36127,0.50442,0.45436,0.27605,1.4327,3.16991,0.99909,0.000953,0.000953,0.000953
50,3791.93,1.40028,3.23772,1.05385,0.35144,0.46526,0.39657,0.22404,1.52305,3.36108,1.01571,0.000946812,0.000946812,0.000946812
51,3861.75,1.39173,3.14538,1.04881,0.64909,0.48538,0.43523,0.2654,1.44947,3.18796,1.01041,0.000940625,0.000940625,0.000940625
52,3932.95,1.40062,3.14399,1.04469,0.38527,0.47406,0.47449,0.27151,1.47684,3.21508,1.0123,0.000934438,0.000934438,0.000934438
53,4003.44,1.40869,3.22735,1.05927,0.48154,0.54906,0.50883,0.26944,1.56158,3.21725,1.02711,0.00092825,0.00092825,0.00092825
54,4073.37,1.35425,3.09898,1.03383,0.32489,0.63179,0.42974,0.24332,1.52121,3.32701,1.01306,0.000922063,0.000922063,0.000922063
55,4144.78,1.37557,3.11324,1.03448,0.39756,0.53706,0.47973,0.28104,1.43577,3.15137,1.00514,0.000915875,0.000915875,0.000915875
