epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1663.94,1.51354,1.2295,1.0037,0.61468,0.45738,0.40307,0.25642,1.32035,1.09821,0.97939,0.000742625,0.000742625,0.000742625
43,1698.68,1.51544,1.23077,1.0219,0.65205,0.4638,0.4138,0.274,1.30123,1.07421,0.97269,0.00073025,0.00073025,0.00073025
44,1733.39,1.47802,1.2113,1.00952,0.62399,0.4179,0.38129,0.2427,1.34603,1.11077,0.98343,0.000717875,0.000717875,0.000717875
45,1768.61,1.49667,1.21499,1.01014,0.63337,0.45031,0.40228,0.2579,1.3482,1.09719,0.97585,0.0007055,0.0007055,0.0007055
46,1809.31,1.47889,1.2243,1.00669,0.6511,0.46084,0.41267,0.26672,1.31635,1.09704,0.96636,0.000693125,0.000693125,0.000693125
47,1857.68,1.5074,1.22711,1.00119,0.6583,0.44648,0.41255,0.27657,1.26215,1.10731,0.95277,0.00068075,0.00068075,0.00068075
48,1906.19,1.4971,1.24293,1.00721,0.65452,0.43055,0.39821,0.25314,1.34954,1.16073,0.96575,0.000668375,0.000668375,0.000668375
49,1957.4,1.48649,1.22363,0.99852,0.67291,0.42575,0.42651,0.28299,1.27174,1.05598,0.95842,0.000656,0.000656,0.000656
50,1999.68,1.4722,1.1887,1.00074,0.66105,0.45366,0.42685,0.27749,1.31982,1.05953,0.97262,0.000643625,0.000643625,0.000643625
51,2046.33,1.45457,1.17528,0.99668,0.63099,0.46244,0.42612,0.27971,1.28843,1.05493,0.9677,0.00063125,0.00063125,0.00063125
52,2092.52,1.48123,1.1992,1.00346,0.64086,0.46855,0.42003,0.26036,1.3914,1.0822,0.98086,0.000618875,0.000618875,0.000618875
53,2137.61,1.49506,1.20252,0.98898,0.64728,0.44948,0.41208,0.26777,1.29219,1.07205,0.96516,0.0006065,0.0006065,0.0006065
54,2173.94,1.46601,1.19409,0.99789,0.64745,0.46542,0.41332,0.26872,1.29559,1.06371,0.96827,0.000594125,0.000594125,0.000594125
55,2213.19,1.47335,1.18593,1.00198,0.65388,0.43404,0.41152,0.27138,1.27823,1.06907,0.96827,0.00058175,0.00058175,0.00058175
56,2251.14,1.49402,1.19532,0.99985,0.63896,0.4316,0.41602,0.28149,1.25103,1.06107,0.95559,0.000569375,0.000569375,0.000569375
57,2288.72,1.43374,1.17131,0.98601,0.65466,0.4342,0.42113,0.26897,1.32314,1.05672,0.96469,0.000557,0.000557,0.000557
58,2335.63,1.43903,1.18671,0.99175,0.64504,0.46319,0.43254,0.28155,1.30676,1.06112,0.96887,0.000544625,0.000544625,0.000544625
59,2382.24,1.454,1.16154,0.98077,0.6792,0.45411,0.43294,0.28072,1.2903,1.05784,0.96441,0.00053225,0.00053225,0.00053225
60,2427.12,1.45997,1.17607,0.98462,0.64917,0.45774,0.4261,0.28581,1.23932,1.04754,0.95318,0.000519875,0.000519875,0.000519875
61,2468.83,1.4414,1.19165,1.0098,0.65732,0.44113,0.42872,0.2826,1.25071,1.03122,0.95977,0.0005075,0.0005075,0.0005075
62,2512.31,1.44693,1.1688,1.00212,0.67921,0.42531,0.4231,0.28187,1.24989,1.02982,0.95981,0.000495125,0.000495125,0.000495125
63,2558.68,1.44174,1.17794,0.99623,0.62097,0.47627,0.41446,0.27872,1.23562,1.0431,0.95769,0.00048275,0.00048275,0.00048275
64,2603.71,1.43168,1.15816,0.98339,0.65905,0.44035,0.43023,0.28462,1.24751,1.03371,0.9554,0.000470375,0.000470375,0.000470375
65,2649.16,1.41789,1.14618,0.98437,0.64637,0.48042,0.43256,0.28855,1.2413,1.02421,0.95862,0.000458,0.000458,0.000458
66,2694.13,1.42592,1.1743,0.99841,0.67841,0.44454,0.43855,0.2991,1.22189,1.02967,0.95581,0.000445625,0.000445625,0.000445625
67,2738.42,1.42749,1.13732,0.98913,0.67807,0.44781,0.43721,0.29447,1.25762,1.03568,0.95908,0.00043325,0.00043325,0.00043325
68,2784.63,1.4396,1.14946,0.98047,0.64793,0.47763,0.43207,0.28971,1.22976,1.03479,0.94921,0.000420875,0.000420875,0.000420875
